episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,episode_reward_max_adapt_1,episode_reward_mean_adapt_1,episode_reward_min_adapt_1,adaptation_delta,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/kl,info/learner/default_policy/inner_kl,info/learner/default_policy/entropy
0.08,-8.0,-0.2131666666666666,nan,0,6,31680,0.08,0.036833333333333336,0.0,0.24999999999999992,False,0,11,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-09,1597645089,1.1056389808654785,24.509308576583862,6395,Francesco-PC,132.239.10.91,24.509308576583862,0,11,[],[],31680,31680,81.7,60.3,[4.88281273e-07],9.999999747378752e-05,0.0019697505,-2.0861625e-08,0.004035709,-4.871843e-10,[-3.0720834e-10],0.6929968
0.08,-7.0,-0.08016666666666666,nan,0,6,34560,0.08,-0.11166666666666665,-9.0,-0.031499999999999986,False,0,12,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-10,1597645090,0.9978210926055908,25.507129669189453,6395,Francesco-PC,132.239.10.91,25.507129669189453,0,12,[],[],34560,34560,90.2,60.4,[2.44140637e-07],9.999999747378752e-05,0.21242052,8.940697e-09,0.004308566,1.2795258e-10,[-2.8921346e-10],0.6929601
0.08,-9.0,-0.2573333333333333,nan,0,6,37440,0.08,0.04000000000000001,0.0,0.29733333333333334,False,0,13,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-11,1597645091,1.0445656776428223,26.551695346832275,6395,Francesco-PC,132.239.10.91,26.551695346832275,0,13,[],[],37440,37440,84.35,60.4,[1.22070318e-07],9.999999747378752e-05,0.0031605419,7.947286e-09,0.0055478653,4.809162e-10,[5.442511e-10],0.6929419
0.08,0.0,0.04666666666666666,nan,0,6,40320,0.08,-0.10166666666666666,-8.0,-0.14833333333333332,False,0,14,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-12,1597645092,1.0352704524993896,27.586965799331665,6395,Francesco-PC,132.239.10.91,27.586965799331665,0,14,[],[],40320,40320,85.8,60.4,[6.10351591e-08],9.999999747378752e-05,0.17965282,9.934108e-09,0.003557555,-7.694563e-10,[1.8270667e-10],0.6929222
0.08,-10.0,-0.2826666666666668,nan,0,6,43200,0.08,-0.06166666666666666,-6.0,0.22100000000000014,False,0,15,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-13,1597645093,1.2408232688903809,28.827789068222046,6395,Francesco-PC,132.239.10.91,28.827789068222046,0,15,[],[],43200,43200,91.0,60.5,[3.05175796e-08],9.999999747378752e-05,0.105822444,1.5894573e-08,0.004381865,4.896447e-10,[1.6632089e-10],0.69288725
0.08,-8.92,-0.338,nan,0,6,46080,0.08,-0.08866666666666666,-7.0,0.24933333333333335,False,0,16,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-15,1597645095,1.2924530506134033,30.12024211883545,6395,Francesco-PC,132.239.10.91,30.12024211883545,0,16,[],[],46080,46080,87.19999999999999,60.55,[1.52587898e-08],9.999999747378752e-05,0.15085424,2.582868e-08,0.0077768513,1.4764303e-09,[2.153161e-10],0.6928796
0.08,-9.0,-0.10766666666666665,nan,0,6,48960,0.08,-0.35900000000000004,-8.0,-0.2513333333333334,False,0,17,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-16,1597645096,1.0924072265625,31.21264934539795,6395,Francesco-PC,132.239.10.91,31.21264934539795,0,17,[],[],48960,48960,74.8,60.7,[7.62939489e-09],9.999999747378752e-05,0.53097934,-5.9604646e-09,0.0039642598,5.134301e-10,[-8.5299746e-11],0.69285357
0.08,-7.92,-0.21,nan,0,6,51840,0.08,-0.045666666666666654,-5.0,0.16433333333333333,False,0,18,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-17,1597645097,1.0417311191558838,32.25438046455383,6395,Francesco-PC,132.239.10.91,32.25438046455383,0,18,[],[],51840,51840,88.1,60.7,[3.81469745e-09],9.999999747378752e-05,0.07895961,-7.152558e-08,0.0092205545,4.811033e-10,[1.9946823e-10],0.69284517
0.08,-9.0,-0.10750000000000001,nan,0,6,54720,0.08,-0.19216666666666665,-8.0,-0.08466666666666664,False,0,19,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-18,1597645098,1.2913265228271484,33.54570698738098,6395,Francesco-PC,132.239.10.91,33.54570698738098,0,19,[],[],54720,54720,90.4,60.7,[1.90734872e-09],9.999999747378752e-05,0.30018088,-1.9868216e-08,2.337725,1.1098643e-09,[-6.673249e-11],0.6928225
0.08,-9.92,-0.2783333333333334,nan,0,6,57600,0.08,-0.09516666666666665,-7.92,0.18316666666666673,False,0,20,a83396793dbc4e7b9a6ae67387fdb4ad,2020-08-16_23-18-19,1597645099,1.141653060913086,34.68736004829407,6395,Francesco-PC,132.239.10.91,34.68736004829407,0,20,[],[],57600,57600,96.8,60.8,[9.53674362e-10],9.999999747378752e-05,0.1930225,1.4901161e-08,0.0069826795,-2.5550792e-10,[5.7392202e-11],0.6927935
